Nombre;Codigo;descripcion;Stock;StockMinimo;PrecioUnitario;Observaciones;Rentabilidad;Iva;CostoInterno;CodigoProveedor;Deposito;CodigoBarra;Rubro;SubRubro;Tipo;PrecioAutomatico
CALZA FRIZADA INFANTIL ELEMENTO GRIS TALLE 8;302G8;CALZA FRIZADA INFANTIL ELEMENTO GRIS TALLE 8;2;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO NEGRO TALLE 10;302N10;CALZA FRIZADA INFANTIL ELEMENTO NEGRO TALLE 10;2;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO NEGRO TALLE 12;302N12;CALZA FRIZADA INFANTIL ELEMENTO NEGRO TALLE 12;3;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO NEGRO TALLE 14;302N14;CALZA FRIZADA INFANTIL ELEMENTO NEGRO TALLE 14;4;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO NEGRO TALLE 16;302N16;CALZA FRIZADA INFANTIL ELEMENTO NEGRO TALLE 16;3;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO NEGRO TALLE 2;302N2;CALZA FRIZADA INFANTIL ELEMENTO NEGRO TALLE 2;5;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
SLIP DE HOMBRE EYELIT CON TOALLA TALLE XXL;311XXL;SLIP DE HOMBRE EYELIT CON TOALLA TALLE XXL;9;;1999;;;21;983,25;;Principal;;Boxers;Eyelit;;
PAR DE MEDIAS 3/4 FANTASÌA DE DAMA COCOT;3230;PAR DE MEDIAS 3/4 FANTASÌA DE DAMA COCOT;36;;520;;;21;244,76;;Principal;;Medias;Cocot;;
PANTY LYCRA ULTRAOPACA PATÍN NEGRO TALLE 0;3400N0;PANTY LYCRA ULTRAOPACA PATÍN NEGRO TALLE 0;4;;1799;;;21;865,62;;Principal;;Deportivo;Nibel;;
PANTY LYCRA ULTRAOPACA PATÍN NEGRO TALLE 00;3400N00;PANTY LYCRA ULTRAOPACA PATÍN NEGRO TALLE 00;4;;1799;;;21;865,62;;Principal;;Deportivo;Nibel;;
PANTY LYCRA ULTRAOPACA PATÍN NEGRO TALLE 000;3400N000;PANTY LYCRA ULTRAOPACA PATÍN NEGRO TALLE 000;5;;1799;;;21;865,62;;Principal;;Deportivo;Nibel;;
PANTY LYCRA ULTRAOPACA PATÍN NEGRO TALLE 3;3400N3;PANTY LYCRA ULTRAOPACA PATÍN NEGRO TALLE 3;3;;1799;;;21;865,62;;Principal;;Deportivo;Nibel;;
PANTY LYCRA ULTRAOPACA PATÍN NEGRO TALLE 4;3400N4;PANTY LYCRA ULTRAOPACA PATÍN NEGRO TALLE 4;3;;1799;;;21;865,62;;Principal;;Deportivo;Nibel;;
PAR DE SOQUETES INVISIBLES CANOA EYELIT;3402;PAR DE SOQUETES INVISIBLES CANOA EYELIT;28;;999;;;21;504,45;;Principal;;Medias;Eyelit;;
SOQUETE TENIS CORTO EYELIT BLANCO;3500B;SOQUETE TENIS CORTO EYELIT BLANCO;12;;1350;;;21;641,25;;Principal;;Medias;Eyelit;;
PANTY LYCRA ULTRA OPACA NIBEL VERDE TALLE 3;3500V3;PANTY LYCRA ULTRA OPACA NIBEL VERDE TALLE 3;9;;1699;;;21;695,87;;Principal;;Medias;Nibel;;
PANTY LYCRA NIBEL PARA DANZAS CON ABERTURA ROSA TALLE 1;3503R1;PANTY LYCRA NIBEL PARA DANZAS CON ABERTURA ROSA TALLE 1;3;;2299;;;21;1135,99;;Principal;;Basica;NiBel;;
PANTY LYCRA NIBEL PARA DANZAS CON ABERTURA ROSA TALLE 2;3503R2;PANTY LYCRA NIBEL PARA DANZAS CON ABERTURA ROSA TALLE 2;3;;2299;;;21;1135,99;;Principal;;Basica;NiBel;;
PANTY LYCRA NIBEL PARA DANZAS CON ABERTURA ROSA TALLE 3;3503R3;PANTY LYCRA NIBEL PARA DANZAS CON ABERTURA ROSA TALLE 3;2;;2299;;;21;1135,99;;Principal;;Basica;NiBel;;
PANTY LYCRA NIBEL PARA DANZAS CON ABERTURA ROSA TALLE 4;3503R4;PANTY LYCRA NIBEL PARA DANZAS CON ABERTURA ROSA TALLE 4;4;;2299;;;21;1135,99;;Principal;;Basica;NiBel;;
PAR DE SOQUETES CORTOS RUNNING CALADO EN EMPEINE EYELIT;3507;PAR DE SOQUETES CORTOS RUNNING CALADO EN EMPEINE EYELIT;9;;1150;;;21;589,95;;Principal;;Medias;Eyelit;;
